normalized_country,geographic_region,sub_region,temperature_celsius,latitude,longitude,humidity,pressure_mb
Afghanistan,Asia,Western & Central Asia,21.86,34.52,69.18,24.23,1008.82
Albania,Europe,Southern Europe,23.02,41.33,19.82,49.64,1015.7
Algeria,Africa,Northern Africa,23.49,36.76,3.05,58.39,1017.28
Andorra,Europe,Southern Europe,12.48,42.5,1.52,58.47,1018.02
Angola,Africa,Western Africa,26.21,-8.84,13.23,72.77,1013.13
Antigua and Barbuda,Caribbean,Caribbean,26.82,17.12,-61.85,78.55,1014.48
Argentina,South America,Southern South America,13.67,-34.59,-58.67,83.08,1017.0
Armenia,Asia,Western & Central Asia,20.94,40.18,44.51,35.77,1015.25
Australia,Oceania,Oceania,12.09,-35.28,149.22,72.82,1018.53
Austria,Europe,Eastern Europe,15.94,48.2,16.37,62.65,1017.88
Azerbaijan,Asia,Western & Central Asia,21.26,40.4,49.88,56.91,1015.45
Bahamas,Caribbean,Caribbean,25.49,25.08,-77.35,80.57,1016.74
Bahrain,Asia,Western & Central Asia,32.17,26.24,50.58,45.67,1006.82
Bangladesh,Asia,South & Southeast Asia,31.42,23.72,90.41,51.02,1004.24
Barbados,Caribbean,Caribbean,27.37,13.1,-59.62,80.31,1012.79
Belarus,Europe,Eastern Europe,13.45,53.9,27.57,67.52,1016.06
Belgium,Europe,Western Europe,14.29,50.83,4.33,73.54,1016.83
Belize,North America,Central America,22.93,17.25,-88.77,95.83,1012.76
Benin,Africa,Central Africa,28.72,6.48,2.62,76.71,1012.87
Bhutan,Asia,South & Southeast Asia,13.76,27.48,89.6,68.38,1009.23
Bolivia,South America,Southern South America,17.07,-19.04,-65.26,74.39,1013.81
Bosnia and Herzegovina,Europe,Southern Europe,16.56,43.85,18.38,63.21,1018.02
Botswana,Africa,Southern Africa,23.82,-24.65,25.91,41.21,1020.21
Brazil,South America,Northern South America,24.59,-2.08,-58.17,80.15,1011.05
Brazil,South America,Southern South America,17.9,-23.53,-46.62,90.0,1022.0
Brunei,Asia,South & Southeast Asia,29.09,4.88,114.93,78.48,1008.08
Bulgaria,Europe,Southern Europe,19.17,42.68,23.32,49.96,1017.6
Burkina Faso,Africa,Central Africa,29.49,12.37,-1.52,54.4,1013.17
Burundi,Africa,Central Africa,26.53,-3.38,29.36,57.29,1014.51
Cambodia,Asia,South & Southeast Asia,31.35,11.55,104.92,67.9,1006.13
Cameroon,Africa,Central Africa,25.39,3.87,11.52,60.81,1015.8
Canada,North America,Northern North America,8.14,45.42,-75.7,84.96,1015.49
Cape Verde,Africa,Central Africa,24.84,14.93,-23.51,71.14,1013.98
Central African Republic,Africa,Central Africa,29.42,4.37,18.58,63.56,1012.71
Chad,Africa,Central Africa,31.34,12.11,15.05,44.23,1011.59
Chile,South America,Southern South America,9.7,-33.45,-70.67,78.05,1016.92
China,Asia,East Asia,20.37,39.93,116.39,46.12,1012.51
Colombia,South America,Northern South America,18.3,4.6,-74.08,87.5,1018.0
